phase_from,phase_to,year,amount
coal_peat_and_oil_shale,chp_plants_ktoe,2014,9112
coal_peat_and_oil_shale,electricity_plants_ktoe,2014,386896
coal_peat_and_oil_shale,exports_ktoe,2014,57196
coal_peat_and_oil_shale,heat_plants_ktoe,2014,0
coal_peat_and_oil_shale,imports_ktoe,2014,6362
coal_peat_and_oil_shale,industry_ktoe,2014,21351
coal_peat_and_oil_shale,of_which_commerce_and_public_services_ktoe,2014,853
coal_peat_and_oil_shale,of_which_residential_ktoe,2014,0
coal_peat_and_oil_shale,oil_refineries_transformation_ktoe,2014,0
coal_peat_and_oil_shale,other_ktoe,2014,853
coal_peat_and_oil_shale,production_ktoe,2014,485031
coal_peat_and_oil_shale,transport_ktoe,2014,0
crude_ngl_and_feed_stocks,chp_plants_ktoe,2014,0
crude_ngl_and_feed_stocks,electricity_plants_ktoe,2014,0
crude_ngl_and_feed_stocks,exports_ktoe,2014,52042
crude_ngl_and_feed_stocks,heat_plants_ktoe,2014,0
crude_ngl_and_feed_stocks,imports_ktoe,2014,407372
crude_ngl_and_feed_stocks,industry_ktoe,2014,0
crude_ngl_and_feed_stocks,of_which_commerce_and_public_services_ktoe,2014,0
crude_ngl_and_feed_stocks,of_which_residential_ktoe,2014,0
crude_ngl_and_feed_stocks,oil_refineries_transformation_ktoe,2014,850405
crude_ngl_and_feed_stocks,other_ktoe,2014,0
crude_ngl_and_feed_stocks,production_ktoe,2014,549939
crude_ngl_and_feed_stocks,transport_ktoe,2014,0
electricity,chp_plants_ktoe,2014,26876
electricity,electricity_plants_ktoe,2014,344571
electricity,exports_ktoe,2014,1144
electricity,heat_plants_ktoe,2014,0
electricity,imports_ktoe,2014,5720
electricity,industry_ktoe,2014,70609
electricity,of_which_commerce_and_public_services_ktoe,2014,116094
electricity,of_which_residential_ktoe,2014,121860
electricity,oil_refineries_transformation_ktoe,2014,0
electricity,other_ktoe,2014,254487
electricity,production_ktoe,2014,0
electricity,transport_ktoe,2014,654
fossil_fuels,electricity_output_gwh,2014,2913787
heat,chp_plants_ktoe,2014,10235
heat,electricity_plants_ktoe,2014,0
heat,exports_ktoe,2014,0
heat,heat_plants_ktoe,2014,0
heat,imports_ktoe,2014,0
heat,industry_ktoe,2014,4419
heat,of_which_commerce_and_public_services_ktoe,2014,1174
heat,of_which_residential_ktoe,2014,0
heat,oil_refineries_transformation_ktoe,2014,0
heat,other_ktoe,2014,1174
heat,production_ktoe,2014,0
heat,transport_ktoe,2014,0
natural_gas,chp_plants_ktoe,2014,41657
natural_gas,electricity_plants_ktoe,2014,164696
natural_gas,exports_ktoe,2014,34672
natural_gas,heat_plants_ktoe,2014,0
natural_gas,imports_ktoe,2014,62255
natural_gas,industry_ktoe,2014,120828
natural_gas,of_which_commerce_and_public_services_ktoe,2014,79393
natural_gas,of_which_residential_ktoe,2014,118695
natural_gas,oil_refineries_transformation_ktoe,2014,0
natural_gas,other_ktoe,2014,199359
natural_gas,production_ktoe,2014,602299
natural_gas,transport_ktoe,2014,20380
nuclear,chp_plants_ktoe,2014,0
nuclear,electricity_output_gwh,2014,830584
nuclear,electricity_plants_ktoe,2014,216455
nuclear,exports_ktoe,2014,0
nuclear,heat_plants_ktoe,2014,0
nuclear,imports_ktoe,2014,0
nuclear,industry_ktoe,2014,0
nuclear,of_which_commerce_and_public_services_ktoe,2014,0
nuclear,of_which_residential_ktoe,2014,0
nuclear,oil_refineries_transformation_ktoe,2014,0
nuclear,other_ktoe,2014,0
nuclear,production_ktoe,2014,216455
nuclear,transport_ktoe,2014,0
oil_products,chp_plants_ktoe,2014,2304
oil_products,electricity_plants_ktoe,2014,7105
oil_products,exports_ktoe,2014,141355
oil_products,heat_plants_ktoe,2014,0
oil_products,imports_ktoe,2014,63675
oil_products,industry_ktoe,2014,21443
oil_products,of_which_commerce_and_public_services_ktoe,2014,12899
oil_products,of_which_residential_ktoe,2014,22469
oil_products,oil_refineries_transformation_ktoe,2014,841603
oil_products,other_ktoe,2014,50558
oil_products,production_ktoe,2014,0
oil_products,transport_ktoe,2014,567599
renewable_sources,electricity_output_gwh,2014,559496
renewables_and_waste,chp_plants_ktoe,2014,7607
renewables_and_waste,electricity_plants_ktoe,2014,64853
renewables_and_waste,exports_ktoe,2014,2207
renewables_and_waste,heat_plants_ktoe,2014,0
renewables_and_waste,imports_ktoe,2014,1344
renewables_and_waste,industry_ktoe,2014,29985
renewables_and_waste,of_which_commerce_and_public_services_ktoe,2014,4027
renewables_and_waste,of_which_residential_ktoe,2014,14634
renewables_and_waste,oil_refineries_transformation_ktoe,2014,0
renewables_and_waste,other_ktoe,2014,20055
renewables_and_waste,production_ktoe,2014,158253
renewables_and_waste,transport_ktoe,2014,34415
